ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
tet(D),3000168,protein homolog model,Resistomes & Variants,Corynebacterium diphtheriae,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
OXA-925,3006111,protein homolog model,CARD,Achromobacter ruhlandii,OXA beta-lactamase,penam,antibiotic inactivation
Staphylococcus intermedius chloramphenicol acetyltransferase,3004457,protein homolog model,Resistomes & Variants,Brevibacillus laterosporus; Enterococcus faecalis; Klebsiella pneumoniae; Staphylococcus aureus; Staphylococcus epidermidis; Staphylococcus equorum; Staphylococcus haemolyticus; Staphylococcus hominis; Staphylococcus lugdunensis,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
OXA-573,3005325,protein homolog model,CARD,Ralstonia insidiosa,OXA beta-lactamase; OXA-60-like beta-lactamase,carbapenem; penam,antibiotic inactivation
mphA,3000316,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
PDC-66,3005126,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
AAC(6')-Ib-cr7,3005117,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,AAC(6'); AAC(6')-Ib-cr,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation
Campylobacter coli chloramphenicol acetyltransferase,3004454,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
CTX-M-125,3001984,protein homolog model,CARD,Enterobacter cloacae,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
tet(37),3002871,protein homolog model,CARD,uncultured bacterium,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation
CTX-M-21,3001883,protein homolog model,CARD,Escherichia coli,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
CAU-1,3000855,protein homolog model,CARD,Caulobacter vibrioides,CAU beta-lactamase,carbapenem; penam,antibiotic inactivation
CTX-M-213,3005636,protein homolog model,CARD,Kluyvera genomosp.,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
CTX-M-241,3005664,protein homolog model,CARD,Escherichia coli,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
PDC-400,3006770,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
tet(O/W/O),3007123,protein homolog model,CARD,Megasphaera elsdenii,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
PJM-1,3007374,protein homolog model,CARD,Pseudoxanthomonas japonensis,PJM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
abeM,3000753,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
CTX-M-8,3001871,protein homolog model,Resistomes & Variants,Citrobacter freundii; Enterobacter kobei; Escherichia coli; Klebsiella michiganensis; Klebsiella pneumoniae; Klebsiella quasipneumoniae; Providencia stuartii; Salmonella enterica,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
ACT-29,3001849,protein homolog model,Resistomes & Variants,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
CTX-M-17,3001880,protein homolog model,Resistomes & Variants,Escherichia coli,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
AAC(3)-IIe,3004621,protein homolog model,Resistomes & Variants,Escherichia coli,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
EC-14,3006875,protein homolog model,Resistomes & Variants,Escherichia coli,EC beta-lactamase,cephalosporin,antibiotic inactivation
DHA-13,3002144,protein homolog model,Resistomes & Variants,Morganella morganii,DHA beta-lactamase,cephalosporin; cephamycin,antibiotic inactivation
Erm(44)v,3003971,protein homolog model,Resistomes & Variants,Staphylococcus saprophyticus,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
PDC-293,3005298,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-67,3005139,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-23,3005155,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
SRT-3,3006853,protein homolog model,Resistomes & Variants,Serratia marcescens,SRT beta-lactamase,cephalosporin,antibiotic inactivation
mexX,3003034,protein homolog model,CARD,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
BJP-1,3000856,protein homolog model,CARD,Bradyrhizobium diazoefficiens,BJP beta-lactamase,carbapenem,antibiotic inactivation
ACT-52,3006247,protein homolog model,CARD; Resistomes & Variants,Enterobacter cloacae; Enterobacter kobei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
Erm(O)-lrm,3004652,protein homolog model,CARD,Streptomyces lividans,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
PAC-1,3005150,protein homolog model,CARD; Resistomes & Variants,Pseudomonas aeruginosa; Aeromonas caviae,PAC beta-lactamase,cephalosporin,antibiotic inactivation
MBL1b,3006951,protein homolog model,CARD,Caulobacter vibrioides,MBL beta-lactamase,carbapenem,antibiotic inactivation
vmlR,3004476,protein homolog model,Resistomes & Variants,Bacillus subtilis,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; nucleoside antibiotic; pleuromutilin antibiotic,antibiotic target protection
linG,3002879,protein homolog model,Resistomes & Variants,Escherichia coli,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
CMY-16,3002027,protein homolog model,Resistomes & Variants,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
TEM-40,3000910,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
vanT gene in vanC cluster,3002970,protein homolog model,Resistomes & Variants,Roseburia hominis,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration
MAL-2,3006950,protein homolog model,CARD,Citrobacter koseri,MAL beta-lactamase,carbapenem,antibiotic inactivation
CKO-1,3004773,protein homolog model,Resistomes & Variants,Citrobacter koseri,CKO beta-lactamase,penam,antibiotic inactivation
tetA(60),3004035,protein homolog model,CARD,uncultured bacterium,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
CSP-1,3006871,protein homolog model,CARD,"Bacteria, Viruses,",CSP beta-lactamase,cephalosporin,antibiotic inactivation
MOX-11,3003141,protein homolog model,CARD,Aeromonas media,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
SPU-1,3006998,protein homolog model,CARD,"Bacteria, Viruses,",SPU beta-lactamase,carbapenem,antibiotic inactivation
RanA,3005091,protein homolog model,Resistomes & Variants,Riemerella anatipestifer,ATP-binding cassette (ABC) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
FosB1,3004670,protein homolog model,CARD; Resistomes & Variants,Staphylococcus haemolyticus; Enterococcus faecium; Klebsiella quasipneumoniae; Staphylococcus aureus; Staphylococcus hominis,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
FosB4,3004671,protein homolog model,CARD; Resistomes & Variants,Staphylococcus aureus; Klebsiella pneumoniae; Staphylococcus epidermidis; Staphylococcus haemolyticus,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
VIM-2,3002272,protein homolog model,Resistomes & Variants,Pseudomonas putida,VIM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam; penem,antibiotic inactivation
dfrA27,3004550,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
TEM-243,3005273,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
ACT-37,3003172,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-19,3001840,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
CfxA6,3003097,protein homolog model,CARD,uncultured organism,CfxA beta-lactamase,cephamycin,antibiotic inactivation
Erm(38),3000601,protein homolog model,CARD,Mycolicibacterium smegmatis,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
ANT(4')-IIb,3002625,protein homolog model,CARD,Pseudomonas aeruginosa,ANT(4'),aminoglycoside antibiotic,antibiotic inactivation
PDC-224,3006604,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-327,3006696,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-364,3006734,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-403,3006773,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
adeL,3000620,protein homolog model,Resistomes & Variants,Acinetobacter pittii,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux
PER-1,3002363,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,PER beta-lactamase,monobactam; carbapenem; cephalosporin; penam; penem,antibiotic inactivation
qacEdelta1,3005010,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
AAC(6')-Ib-cr3,3005112,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,AAC(6'); AAC(6')-Ib-cr,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation
OXA-1,3001396,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,OXA beta-lactamase; OXA-1-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
TEM-247,3007451,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
PDC-11,3005132,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-167,3006546,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
TEM-68,3000935,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
OXA-840,3006034,protein homolog model,CARD,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-500,3005730,protein homolog model,Resistomes & Variants,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
PDC-106,3006484,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-133,3006510,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-123,3006499,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
otr(B),3002892,protein homolog model,CARD,Streptomyces rimosus,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
ADC-53,3006433,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation
fusH,3003026,protein homolog model,CARD,Streptomyces lividans,fusidic acid inactivation enzyme,fusidane antibiotic,antibiotic inactivation
LEN-16,3002464,protein homolog model,CARD,Klebsiella pneumoniae,LEN beta-lactamase,penam; penem,antibiotic inactivation
LEN-19,3002466,protein homolog model,CARD,Klebsiella pneumoniae,LEN beta-lactamase,penam; penem,antibiotic inactivation
LEN-58,3004849,protein homolog model,CARD,Klebsiella variicola,LEN beta-lactamase,penam; penem,antibiotic inactivation
LEN-27,3006932,protein homolog model,CARD,Klebsiella,LEN beta-lactamase,penam; penem,antibiotic inactivation
PDC-291,3006663,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
LpsB,3005051,protein homolog model,Resistomes & Variants,Acinetobacter pittii,Intrinsic peptide antibiotic resistant Lps,peptide antibiotic,reduced permeability to antibiotic
Brucella suis mprF,3003772,protein homolog model,Resistomes & Variants,Brucella canis; Brucella suis; Brucella melitensis; Brucella abortus; Brucella inopinata,defensin resistant mprF,peptide antibiotic,antibiotic target alteration
TEM-183,3001045,protein homolog model,CARD,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-141,3001004,protein homolog model,CARD,Enterobacter cloacae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-130,3000994,protein homolog model,CARD,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-234,3005265,protein homolog model,CARD,Pseudomonas aeruginosa,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-236,3005267,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-2,3000874,protein homolog model,Resistomes & Variants,Acinetobacter pittii; Enterobacter hormaechei; Escherichia coli; Klebsiella pneumoniae; Proteus mirabilis; Providencia stuartii; Pseudomonas aeruginosa,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-30,3000900,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-57,3000926,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-168,3001034,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
APH(3')-IIa,3002644,protein homolog model,Resistomes & Variants,Escherichia coli,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
TEM-171,3001037,protein homolog model,Resistomes & Variants,Neisseria gonorrhoeae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
abcA,3003942,protein homolog model,CARD,Aspergillus fumigatus,ATP-binding cassette (ABC) antibiotic efflux pump,cephalosporin; penam; peptide antibiotic,antibiotic efflux
Pseudomonas aeruginosa catB7,3002679,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
AQU-3,3004648,protein homolog model,CARD,Aeromonas dhakensis,AQU beta-lactamase,cephalosporin,antibiotic inactivation
TEM-214,3001391,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
rphB,3003992,protein homolog model,CARD,Paenibacillus sp.,rifampin phosphotransferase,rifamycin antibiotic,antibiotic inactivation
SGM-6,3006992,protein homolog model,CARD; Resistomes & Variants,"Bacteria, Viruses,; Sphingobium yanoikuyae",SGM beta-lactamase,carbapenem,antibiotic inactivation
ADC-131,3006306,protein homolog model,Resistomes & Variants,Acinetobacter nosocomialis,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation
adeA,3000774,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,antibiotic efflux
adeS,3000549,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,antibiotic efflux
arr-1,3002846,protein homolog model,Resistomes & Variants,Mycolicibacterium fortuitum,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation
smeD,3003055,protein homolog model,CARD; Resistomes & Variants,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,antibiotic efflux
iri,3002884,protein homolog model,CARD; Resistomes & Variants,Rhodococcus hoagii; Rhodococcus rhodochrous,rifampin monooxygenase,rifamycin antibiotic,antibiotic inactivation
lmrD,3002882,protein homolog model,CARD,Lactococcus lactis,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,antibiotic efflux
lmrB,3002813,protein homolog model,Resistomes & Variants,Bacillus subtilis,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic; nucleoside antibiotic,antibiotic efflux
PDC-226,3006605,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-345,3006715,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-466,3006832,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ArmR,3004056,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,antibiotic efflux
PDC-52,3005141,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-53,3005151,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
otr(C),3002894,protein homolog model,CARD,Streptomyces rimosus,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
fusB,3003552,protein homolog model,CARD; Resistomes & Variants,Staphylococcus aureus; Staphylococcus capitis; Staphylococcus epidermidis; Staphylococcus haemolyticus; Staphylococcus hominis; Staphylococcus lugdunensis; Staphylococcus pasteuri; Staphylococcus saprophyticus; Staphylococcus warneri,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,antibiotic target protection
OXA-574,3005795,protein homolog model,CARD,Ralstonia insidiosa,OXA beta-lactamase; OXA-22-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
gimA,3000463,protein homolog model,CARD,Streptomyces ambofaciens,gimA family macrolide glycosyltransferase,macrolide antibiotic,antibiotic inactivation
ACT-70,3006265,protein homolog model,CARD,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-7,3001830,protein homolog model,Resistomes & Variants,Enterobacter cloacae; Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-32,3001852,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-43,3006238,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
vanR gene in vanN cluster,3002929,protein homolog model,CARD,Enterococcus faecium,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
vanR gene in vanP cluster,3007191,protein homolog model,CARD; Resistomes & Variants,Enterococcus faecium,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
nimE,3007107,protein homolog model,Resistomes & Variants,Phocaeicola dorei,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation
opmE,3003700,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
MexH,3000807,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
tsnR,3003060,protein homolog model,CARD,Streptomyces laurentii,non-erm 23S ribosomal RNA methyltransferase (A1067),peptide antibiotic,antibiotic target alteration
vanR gene in vanC cluster,3002922,protein homolog model,CARD,Enterococcus gallinarum,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
OXA-455,3003611,protein homolog model,CARD,Achromobacter insuavis,OXA beta-lactamase; OXA-364-like beta-lactamase,penam,antibiotic inactivation
BSU-1,3006902,protein homolog model,CARD; Resistomes & Variants,"Bacteria, Viruses,; Bacillus subtilis",BSU beta-lactamase,carbapenem,antibiotic inactivation
CepA-49,3006226,protein homolog model,CARD,Bacteroides,CepA beta-lactamase,cephalosporin,antibiotic inactivation
tet(X5),3005057,protein homolog model,Resistomes & Variants,Acinetobacter baumannii; Acinetobacter pittii,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation
Erm(35),3000604,protein homolog model,Resistomes & Variants,Bacteroides fragilis; Bacteroides ovatus; Parabacteroides distasonis; Phocaeicola dorei; Phocaeicola vulgatus; Bacteroides caccae,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
ANT(9)-Ia,3002630,protein homolog model,Resistomes & Variants,Staphylococcus aureus,ANT(9),aminoglycoside antibiotic,antibiotic inactivation
Rv1877,3007662,protein homolog model,CARD,Mycobacterium tuberculosis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
OCH-3,3002516,protein homolog model,CARD,Brucella anthropi,OCH beta-lactamase,monobactam; cephalosporin; cephamycin; penam; penem,antibiotic inactivation
OCH-2,3002515,protein homolog model,CARD,Brucella anthropi,OCH beta-lactamase,monobactam; cephalosporin; cephamycin; penam; penem,antibiotic inactivation
Agrobacterium fabrum chloramphenicol acetyltransferase,3004451,protein homolog model,CARD,Agrobacterium fabrum,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
BcIII,3007101,protein homolog model,Resistomes & Variants,Bacillus cereus,class A Bacillus cereus Bc beta-lactamase,cephalosporin; penem,antibiotic inactivation
tet(38),3000565,protein homolog model,CARD; Resistomes & Variants,Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
Vibrio anguillarum chloramphenicol acetyltransferase,3004460,protein homolog model,CARD; Resistomes & Variants,Vibrio anguillarum; Aeromonas caviae; Providencia rettgeri,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
OXA-58,3001611,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,OXA beta-lactamase; OXA-58-like beta-lactamase,carbapenem; penam,antibiotic inactivation
AAC(3)-Ia,3002528,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
Acinetobacter baumannii AbaF,3004573,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,antibiotic efflux
tet(42),3000572,protein homolog model,CARD,Micrococcus sp.,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
lfrA,3003967,protein homolog model,CARD,Mycolicibacterium smegmatis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
OXA-572,3005794,protein homolog model,CARD,Ralstonia mannitolilytica,OXA beta-lactamase; OXA-22-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
OpmD,3000809,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
PDC-352,3005290,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-132,3006509,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ACT-74,3006268,protein homolog model,CARD,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
aadA21,3002618,protein homolog model,CARD,Salmonella enterica,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
aadK,3002627,protein homolog model,Resistomes & Variants,Bacillus subtilis,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
aadA17,3002617,protein homolog model,Resistomes & Variants,Escherichia coli,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
aadA23,3002620,protein homolog model,Resistomes & Variants,Salmonella enterica,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ACT-84,3006278,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
SRT-2,3002494,protein homolog model,Resistomes & Variants,Serratia marcescens,SRT beta-lactamase,cephalosporin,antibiotic inactivation
ACT-30,3001850,protein homolog model,CARD,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
PDC-136,3006513,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-390,3006760,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-460,3006828,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-462,3006829,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ACT-20,3001841,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-61,3006256,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
