Protein.identifier	Gene.symbol	Sequence.name	Scope	Element.type	Element.subtype	Class	Subclass	Method	Target.length	Reference.sequence.length	X..Coverage.of.reference.sequence	X..Identity.to.reference.sequence	Alignment.length	Accession.of.closest.sequence	Name.of.closest.sequence	HMM.id	HMM.description	Bin.ID	sample_id	Category	Specifics	Source	module	rack	Percentage.of.reads.mapping.to.taxonomic.identificatioin	Genus	Species	Completeness	Contamination	position
HCHGML_20650	hsp20	small heat shock protein sHSP20	plus	STRESS	HEAT	NA	NA	BLASTP	189	189	100	98.94	189	CDY80020.1	small heat shock protein sHSP20	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20675	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTP	152	152	100	99.34	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20680	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100	99.67	304	APX31172.1	heat resistance protein YfdX1	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20685	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100	98.98	295	ASF80766.1	heat resistance protein YfdX2	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20690	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100	97.54	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20700	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100	99.32	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20705	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100	99.12	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_20710	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTP	165	165	100	96.36	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_21845	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	80	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCONIO_03285	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11130	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11135	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11140	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11145	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11150	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11155	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11160	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11170	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11190	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11195	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11200	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11205	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11210	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11215	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_11220	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_13615	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HCONIO_17390	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_020092965.1_ASM2009296v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
HJIFFD_02570	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.03	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_032101565.1_ASM3210156v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HJIFFD_18275	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	63.57	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_032101565.1_ASM3210156v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
IPNGHM_03670	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_04815	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05390	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05395	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.14	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05400	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05405	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05410	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05415	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05420	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05440	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05450	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05455	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05460	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05465	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05470	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05475	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_05480	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
IPNGHM_09275	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_020092915.1_ASM2009291v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
JAHMDI_05265	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D1368A_S144_L004_Mapped_To_coassembly_bin.008	3D1368A_S144_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	87.0159	g_Pantoea	s_Pantoea piersonii	94.93	3.52	1
JAHMDI_10625	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D1368A_S144_L004_Mapped_To_coassembly_bin.008	3D1368A_S144_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	87.0159	g_Pantoea	s_Pantoea piersonii	94.93	3.52	1
JAIIMM_05885	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D1359A_S318_L004_Mapped_To_coassembly_bin.008	3D1359A_S318_L004	ISS	ISS-Internal Surface	3DMM	node 3	5	61.5621	g_Pantoea	s_Pantoea piersonii	99.35	9.17	1
JAIIMM_12050	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D1359A_S318_L004_Mapped_To_coassembly_bin.008	3D1359A_S318_L004	ISS	ISS-Internal Surface	3DMM	node 3	5	61.5621	g_Pantoea	s_Pantoea piersonii	99.35	9.17	1
JDKHBK_05245	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	94.69	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_003970755.1_ASM397075v1_genomic		Clinical	Urine	Yenepoya University, Mangalore, India		NA	NA			NA	NA	1
JDKHBK_05265	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	96.28	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_003970755.1_ASM397075v1_genomic		Clinical	Urine	Yenepoya University, Mangalore, India		NA	NA			NA	NA	1
JDKHBK_05275	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	813	824	98.79	84.28	814	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_003970755.1_ASM397075v1_genomic		Clinical	Urine	Yenepoya University, Mangalore, India		NA	NA			NA	NA	1
JDKHBK_05350	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	77.86	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_003970755.1_ASM397075v1_genomic		Clinical	Urine	Yenepoya University, Mangalore, India		NA	NA			NA	NA	1
JDKHBK_08775	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_003970755.1_ASM397075v1_genomic		Clinical	Urine	Yenepoya University, Mangalore, India		NA	NA			NA	NA	1
JDKHBK_12175	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	64.29	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_003970755.1_ASM397075v1_genomic		Clinical	Urine	Yenepoya University, Mangalore, India		NA	NA			NA	NA	1
JNEFOB_08470	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08475	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08480	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08485	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08490	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08495	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08500	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08510	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08530	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08535	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08540	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08545	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08550	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
